Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11996,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline",Ros Schwartz,"=""0380731819""","=""9780380731817""",0,4.25,Avon Eos,Paperback,208,1998,1995,,2022/08/08,to-read,to-read (#45),to-read,,,,0,0
39335566,The Water Cure,Sophie Mackintosh,"Mackintosh, Sophie",,"=""0385543875""","=""9780385543873""",0,3.25,Doubleday,Hardcover,288,2019,2018,,2022/08/08,to-read,to-read (#44),to-read,,,,0,0
54985743,People We Meet on Vacation,Emily Henry,"Henry, Emily",,"=""1984806750""","=""9781984806758""",4,3.94,Berkley Books,Paperback,364,2021,2021,2022/06/01,2022/05/10,,,read,,,,1,0
52867387,Beach Read,Emily Henry,"Henry, Emily",,"=""1984806734""","=""9781984806734""",5,4.04,Berkley,Paperback,361,2020,2020,2022/07/22,2022/05/10,,,read,,,,1,0
55710822,Better Than the Movies,Lynn Painter,"Painter, Lynn",,"=""1534467629""","=""9781534467620""",4,4.29,Simon & Schuster Books for Young Readers,Hardcover,356,2021,2021,2022/07/27,2022/07/02,,,read,,,,1,0
59593390,Amores y amoríos de los reyes de España,José Montero Alonso,"Alonso, José Montero",,"=""8486280648""","=""9788486280642""",0,4.00,,Paperback,,1993,,,2022/08/05,to-read,to-read (#43),to-read,,,,0,0
56978100,The Girl Who Fell Beneath the Sea,Axie Oh,"Oh, Axie",Kuri Huang,"=""1250780861""","=""9781250780867""",0,4.17,Feiwel & Friends,Hardcover,325,2022,2022,,2022/08/02,to-read,to-read (#42),to-read,,,,0,0
54304013,Shipped,Angie Hockman,"Hockman, Angie",,"=""1982151595""","=""9781982151591""",0,3.65,Gallery Books,Paperback,336,2021,2021,,2022/08/02,to-read,to-read (#41),to-read,,,,0,0
27213238,The Hating Game,Sally  Thorne,"Thorne, Sally",,"=""""","=""""",0,3.96,William Morrow Paperbacks,Paperback,365,2016,2016,,2022/08/02,to-read,to-read (#40),to-read,,,,0,0
51035594,The Do-Over,Lynn Painter,"Painter, Lynn",,"=""""","=""""",0,4.12,Simon Pulse,Hardcover,304,2022,2022,,2022/08/01,to-read,to-read (#39),to-read,,,,0,0
